Date,Maximum,Minimum,Average,Departure,HDD,CDD,Precipitation,New Snow,Snow Depth,Year,Month,Day
2020-03-19,31.11111111111111,25.0,28.055555555555557,1.2,0,18,0.508,0,0.0,2020,3,19
2020-03-20,31.11111111111111,26.11111111111111,28.61111111111111,2.1,0,19,0.0,0,0.0,2020,3,20
2020-03-21,30.555555555555557,25.0,27.77777777777778,0.6,0,17,1.016,0,0.0,2020,3,21
2020-03-22,31.666666666666668,24.444444444444443,28.055555555555557,1.0,0,18,0.0,0,0.0,2020,3,22
2020-03-23,31.666666666666668,25.555555555555557,28.61111111111111,2.0,0,19,0.7619999999999999,0,0.0,2020,3,23
2020-03-24,31.11111111111111,25.0,28.055555555555557,1.0,0,18,0.0,0,0.0,2020,3,24
2020-03-25,32.22222222222222,23.333333333333332,27.77777777777778,0.4,0,17,0.0,0,0.0,2020,3,25
2020-03-26,31.11111111111111,23.88888888888889,27.5,-0.1,0,17,1.778,0,0.0,2020,3,26
2020-03-27,31.11111111111111,25.0,28.055555555555557,0.8,0,18,2.2859999999999996,0,0.0,2020,3,27
2020-03-28,30.555555555555557,25.555555555555557,28.055555555555557,0.8,0,18,2.54,0,0.0,2020,3,28
2020-03-29,31.666666666666668,25.0,28.333333333333332,1.2,0,18,1.778,0,0.0,2020,3,29
2020-03-30,31.666666666666668,24.444444444444443,28.055555555555557,0.7,0,18,4.571999999999999,0,0.0,2020,3,30
2020-03-31,31.11111111111111,23.88888888888889,27.5,-0.4,0,17,6.858,0,0.0,2020,3,31
2020-04-01,31.666666666666668,25.0,28.333333333333332,1.1,0,18,0.0,0,0.0,2020,4,1
2020-04-02,31.11111111111111,25.0,28.055555555555557,1.0,0,18,0.0,0,0.0,2020,4,2
2020-04-03,31.666666666666668,25.0,27.22222222222222,-1.0,0,17,2.2859999999999996,0,0.0,2020,4,3
2020-04-04,31.666666666666668,22.77777777777778,27.22222222222222,-0.1,0,17,0.0,0,0.0,2020,4,4
2020-04-05,29.444444444444443,23.88888888888889,26.666666666666668,-2.1,0,15,16.764,0,0.0,2020,4,5
2020-04-06,31.11111111111111,25.0,28.055555555555557,0.4,0,18,0.508,0,0.0,2020,4,6
2020-04-07,31.11111111111111,24.444444444444443,27.77777777777778,-0.2,0,17,0.0,0,0.0,2020,4,7
2020-04-08,31.666666666666668,25.555555555555557,28.61111111111111,1.3,0,19,0.0,0,0.0,2020,4,8
2020-04-09,30.555555555555557,25.0,27.77777777777778,-0.3,0,17,1.27,0,0.0,2020,4,9
2020-04-10,31.11111111111111,26.11111111111111,28.61111111111111,1.2,0,19,0.0,0,0.0,2020,4,10
2020-04-11,31.666666666666668,25.555555555555557,28.61111111111111,1.1,0,19,0.0,0,0.0,2020,4,11
2020-04-12,31.666666666666668,25.0,28.333333333333332,0.6,0,18,0.7619999999999999,0,0.0,2020,4,12
2020-04-13,31.11111111111111,23.333333333333332,27.22222222222222,-1.4,0,16,0.0,0,0.0,2020,4,13
2020-04-14,32.22222222222222,23.333333333333332,27.77777777777778,-0.5,0,17,0.0,0,0.0,2020,4,14
2020-04-15,32.77777777777778,25.0,28.88888888888889,1.5,0,19,0.0,0,0.0,2020,4,15
2020-04-16,31.666666666666668,24.444444444444443,28.055555555555557,-0.1,0,18,0.0,0,0.0,2020,4,16
2020-04-17,32.22222222222222,25.0,28.61111111111111,0.9,0,19,2.794,0,0.0,2020,4,17
2020-04-18,32.77777777777778,25.0,28.88888888888889,1.4,0,19,4.3180000000000005,0,0.0,2020,4,18
2020-04-19,32.22222222222222,25.0,28.333333333333332,0.3,0,18,2.2859999999999996,0,0.0,2020,4,19
2020-04-20,31.666666666666668,26.11111111111111,28.88888888888889,1.3,0,19,3.302,0,0.0,2020,4,20
2020-04-21,31.666666666666668,25.0,28.333333333333332,0.3,0,18,0.7619999999999999,0,0.0,2020,4,21
2020-04-22,32.77777777777778,26.666666666666668,29.72222222222222,2.7,0,21,0.0,0,0.0,2020,4,22
2020-04-23,32.22222222222222,25.555555555555557,28.88888888888889,1.2,0,19,1.016,0,0.0,2020,4,23
2020-04-24,32.22222222222222,27.22222222222222,29.72222222222222,2.7,0,21,0.0,0,0.0,2020,4,24
2020-04-25,32.22222222222222,25.0,28.61111111111111,0.7,0,19,6.604,0,0.0,2020,4,25
2020-04-26,32.22222222222222,25.555555555555557,28.88888888888889,1.1,0,19,18.796,0,0.0,2020,4,26
2020-04-27,31.666666666666668,26.11111111111111,28.88888888888889,1.1,0,19,0.508,0,0.0,2020,4,27
2020-04-28,32.22222222222222,27.22222222222222,29.72222222222222,2.6,0,21,0.0,0,0.0,2020,4,28
2020-04-29,32.22222222222222,27.22222222222222,30.27777777777778,3.1,0,21,0.7619999999999999,0,0.0,2020,4,29
2020-04-30,32.22222222222222,27.77777777777778,30.0,3.1,0,21,25.4,0,0.0,2020,4,30
2020-05-01,32.22222222222222,25.0,28.61111111111111,-0.5,0,18,21.081999999999997,0,0.0,2020,5,1
2020-05-02,30.555555555555557,23.88888888888889,27.22222222222222,-1.0,0,17,25.907999999999998,0,0.0,2020,5,2
2020-05-03,31.666666666666668,26.666666666666668,29.166666666666668,1.5,0,20,0.0,0,0.0,2020,5,3
2020-05-04,31.666666666666668,27.22222222222222,29.444444444444443,2.0,0,20,0.0,0,0.0,2020,5,4
2020-05-05,31.11111111111111,26.11111111111111,28.61111111111111,0.5,0,19,1.778,0,0.0,2020,5,5
2020-05-06,31.666666666666668,27.22222222222222,29.444444444444443,1.9,0,20,0.0,0,0.0,2020,5,6
2020-05-07,31.11111111111111,26.11111111111111,28.61111111111111,0.4,0,19,0.0,0,0.0,2020,5,7
2020-05-08,31.11111111111111,25.0,28.055555555555557,-0.6,0,18,0.254,0,0.0,2020,5,8
2020-05-09,31.666666666666668,25.555555555555557,28.61111111111111,0.4,0,19,0.0,0,0.0,2020,5,9
2020-05-10,31.666666666666668,27.22222222222222,29.444444444444443,1.9,0,20,2.032,0,0.0,2020,5,10
2020-05-11,28.88888888888889,22.77777777777778,25.833333333333332,-4.6,0,14,53.08599999999999,0,0.0,2020,5,11
2020-05-12,31.11111111111111,24.444444444444443,27.77777777777778,-1.1,0,17,0.0,0,0.0,2020,5,12
2020-05-13,31.666666666666668,25.555555555555557,28.61111111111111,0.3,0,19,0.508,0,0.0,2020,5,13
2020-05-14,31.666666666666668,26.666666666666668,29.166666666666668,1.3,0,20,0.254,0,0.0,2020,5,14
2020-05-15,31.11111111111111,26.666666666666668,28.88888888888889,0.8,0,19,0.0,0,0.0,2020,5,15
2020-05-16,31.666666666666668,26.666666666666668,29.166666666666668,1.3,0,20,4.3180000000000005,0,0.0,2020,5,16
2020-05-17,30.0,25.555555555555557,27.77777777777778,-1.2,0,17,18.287999999999997,0,0.0,2020,5,17
2020-05-18,31.666666666666668,27.22222222222222,29.444444444444443,1.8,0,20,0.0,0,0.0,2020,5,18
2020-05-19,31.666666666666668,27.22222222222222,29.444444444444443,1.8,0,20,0.0,0,0.0,2020,5,19
2020-05-20,31.666666666666668,26.666666666666668,29.166666666666668,1.2,0,20,0.0,0,0.0,2020,5,20
2020-05-21,32.22222222222222,27.77777777777778,30.0,2.7,0,21,0.0,0,0.0,2020,5,21
2020-05-22,31.666666666666668,27.22222222222222,29.444444444444443,1.7,0,20,0.0,0,0.0,2020,5,22
2020-05-23,32.22222222222222,26.666666666666668,29.444444444444443,1.7,0,20,0.0,0,0.0,2020,5,23
2020-05-24,32.22222222222222,25.555555555555557,28.88888888888889,0.7,0,19,0.7619999999999999,0,0.0,2020,5,24
2020-05-25,32.22222222222222,26.11111111111111,29.166666666666668,1.2,0,20,0.254,0,0.0,2020,5,25
2020-05-26,31.666666666666668,26.666666666666668,29.166666666666668,1.1,0,20,1.27,0,0.0,2020,5,26
2020-05-27,31.666666666666668,26.11111111111111,28.88888888888889,0.6,0,19,0.7619999999999999,0,0.0,2020,5,27
2020-05-28,32.22222222222222,26.666666666666668,29.444444444444443,1.6,0,20,0.0,0,0.0,2020,5,28
2020-05-29,32.22222222222222,25.0,28.61111111111111,0.1,0,19,1.5239999999999998,0,0.0,2020,5,29
2020-05-30,29.444444444444443,25.0,27.22222222222222,-2.4,0,16,12.191999999999998,0,0.0,2020,5,30
2020-05-31,29.444444444444443,24.444444444444443,26.944444444444443,-2.9,0,16,62.992,0,0.0,2020,5,31
2020-06-01,31.11111111111111,26.666666666666668,28.88888888888889,0.6,0,19,0.0,0,0.0,2020,6,1
2020-06-02,31.666666666666668,25.555555555555557,28.61111111111111,0.7,0,19,0.254,0,0.0,2020,6,2
2020-06-03,31.666666666666668,26.11111111111111,28.88888888888889,0.5,0,19,1.016,0,0.0,2020,6,3
2020-06-04,31.666666666666668,27.22222222222222,29.444444444444443,1.5,0,20,0.508,0,0.0,2020,6,4
2020-06-05,29.444444444444443,25.555555555555557,27.5,-2.0,0,17,16.002,0,0.0,2020,6,5
2020-06-06,30.555555555555557,25.555555555555557,28.055555555555557,-1.0,0,18,3.302,0,0.0,2020,6,6
2020-06-07,31.11111111111111,26.666666666666668,28.88888888888889,0.5,0,19,0.0,0,0.0,2020,6,7
2020-06-08,32.22222222222222,25.555555555555557,28.88888888888889,0.5,0,19,10.413999999999998,0,0.0,2020,6,8
2020-06-09,31.11111111111111,26.666666666666668,28.88888888888889,0.5,0,19,0.0,0,0.0,2020,6,9
2020-06-10,32.22222222222222,26.666666666666668,29.444444444444443,1.5,0,20,1.27,0,0.0,2020,6,10
2020-06-11,32.22222222222222,23.88888888888889,28.055555555555557,-1.0,0,18,21.336,0,0.0,2020,6,11
2020-06-12,31.666666666666668,26.666666666666668,29.166666666666668,1.0,0,20,1.016,0,0.0,2020,6,12
2020-06-13,31.666666666666668,27.22222222222222,29.444444444444443,1.5,0,20,0.0,0,0.0,2020,6,13
2020-06-14,31.666666666666668,27.22222222222222,29.72222222222222,2.0,0,21,0.7619999999999999,0,0.0,2020,6,14
2020-06-15,31.666666666666668,26.666666666666668,29.166666666666668,1.0,0,20,1.27,0,0.0,2020,6,15
2020-06-16,31.11111111111111,27.22222222222222,29.166666666666668,1.0,0,20,0.0,0,0.0,2020,6,16
2020-06-17,31.666666666666668,27.22222222222222,29.444444444444443,1.5,0,20,1.27,0,0.0,2020,6,17
2020-06-18,32.22222222222222,27.22222222222222,29.72222222222222,2.1,0,21,0.0,0,0.0,2020,6,18
2020-06-19,32.22222222222222,27.22222222222222,29.72222222222222,2.1,0,21,1.016,0,0.0,2020,6,19
2020-06-20,32.77777777777778,26.11111111111111,29.444444444444443,1.6,0,20,0.508,0,0.0,2020,6,20
2020-06-21,32.77777777777778,26.666666666666668,29.72222222222222,2.1,0,21,2.2859999999999996,0,0.0,2020,6,21
2020-06-22,32.22222222222222,26.666666666666668,29.444444444444443,1.6,0,20,0.7619999999999999,0,0.0,2020,6,22
2020-06-23,32.22222222222222,26.666666666666668,29.444444444444443,1.7,0,20,6.35,0,0.0,2020,6,23
2020-06-24,32.22222222222222,25.555555555555557,28.88888888888889,0.7,0,19,5.334,0,0.0,2020,6,24
2020-06-25,32.22222222222222,27.77777777777778,30.0,2.7,0,21,0.0,0,0.0,2020,6,25
2020-06-26,31.666666666666668,26.666666666666668,29.166666666666668,1.2,0,20,2.2859999999999996,0,0.0,2020,6,26
2020-06-27,32.22222222222222,27.22222222222222,29.72222222222222,2.3,0,21,2.794,0,0.0,2020,6,27
2020-06-28,32.77777777777778,26.11111111111111,29.444444444444443,1.6,0,20,1.778,0,0.0,2020,6,28
2020-06-29,31.666666666666668,26.11111111111111,28.88888888888889,0.8,0,19,4.826,0,0.0,2020,6,29
2020-06-30,32.77777777777778,26.11111111111111,29.444444444444443,1.9,0,20,0.0,0,0.0,2020,6,30
2020-07-01,30.0,25.0,27.5,-1.6,0,17,8.636000000000001,0,0.0,2020,7,1
2020-07-02,31.11111111111111,27.22222222222222,29.166666666666668,1.4,0,20,0.7619999999999999,0,0.0,2020,7,2
2020-07-03,32.77777777777778,25.0,28.88888888888889,1.0,0,19,0.0,0,0.0,2020,7,3
